action,keywords,parent,description,title,application_type
matsci_restart_gui.panel,,,"Restart one of the restartable Materials Science workflows, chosen by job type. Restarting can be done on jobs that fail due to problems such as resource, hardware, or network issues.<br/>Opens the Restart Workflow panel</a>.",,
matsci_run_meta_workflow_gui.panel,,,Apply built-in and previously saved meta workflows to systems of interest.<br/>Opens the Run Meta Workflow Panel.,,
mc_sa_gui.panel,,,"Locate sites of adsorption of an adsorbate on a surface using Monte Carlo - Simulated Annealing simulation, and analyze the energetics of adsorption.<br/>Opens the Adsorption Site Finder panel</a>.",,
mcs_docking_gui.panel,,,Align a set of congeneric ligands to a dynamically adjustable set of reference ligands using Glide docking with MCS core constraints.<br/>Opens the MCS Docking Ligand Alignment panel,,
mcsd,,,"<!-- MacroModel, MMOD, MC, MD, SD, conformational search -->
Run a Monte Carlo/Stochastic Dynamics calculation at constant temperature on a structure. The MMFF and the OPLS series of force fields with various electrostatic treatments, including GB/SA, can be used.<br/>Opens the MC/SD panel.",,
mcsligalign,"alignment, mcsdocking, superimpose, superpose, superimposition, mcs",,,MCS Docking Ligand Alignment...,Structure Alignment
md_descriptors_gui.panel,,,"<!-- MD descriptors, ML, descriptors, MD, molecular dynamics -->
Calculate descriptors for molecular structures using molecular dynamics simulations, which can then be used in machine learning.<br/>Opens the MD Descriptors Panel.",,
measurement_delete,,,Delete all measurement labels from the Workspace.,,
measurement_panel_1h_nmr_coupling,,,Predict NMR spin-spin coupling constants for pairs of vicinial hydrogens.<br/>Opens the Measurements panel at the 1H NMR Coupling tab.,,
measurement_panel_angle,,,Measure angles between sets of three atoms.<br/>Opens the Measurements panel at the Angles tab.,,
measurement_panel_dihedral,,,Measure dihedral angles between sets of four atoms.<br/>Opens the Measurements panel at the Dihedrals tab.,,
measurement_panel_distance,,,Measure distances between pairs of atoms.<br/>Opens the Measurements panel at the Distances tab.,,
measurement_panel_picked_reposition,,,Reposition measurement labels in the Workspace by dragging.,,
measurement_pick,,,Pick atoms in the Workspace to make a measurement of the currently selected type.,,
measurementx,,,"Make measurements of distances, angles, and dihedrals in the Workspace.<br/>Opens the Measure banner.",,
medchem_confsearch_gui.panel,,,"Run a conformational search on the Workspace structure and plot the resulting conformer energies. A rapid or a thorough search can be performed, with a choice of solvent. <br/>Opens the Conformational Search panel.",,
medchem_flexalign_gui.panel,,,Align the selected entries in the Project Table to the entry in the Workspace. Torsional adjustment is performed to obtain the best alignment. <br/>Opens the Flexible Ligand Alignment panel.,,
medchem_minimization_gui.panel,,,"Minimize the Workspace structure using MacroModel, with a choice of solvents.<br/>Opens the Minimization panel.",,
medchem_molprop_gui.panel,,,"Display properties of a structure: molecular weight, AlogP, polar surface area, rotatable bonds, H-bond donors and acceptors, and SMILES string. The properties are updated when you modify the structure. <br/>Opens the Interactive Properties panel.",,
membrane_analysis_gui.panel,,,...<br/>Opens the Membrane Analysis Panel.,,
membrane_analysis_viewer_gui.panel,,,...<br/>Opens the Membrane Analysis Viewer Panel.,,
membrane_permeability_gui.panel,,,"Calcuate the passive membrane permeability of a congeneric set of ligands, based on calculations using continuum solvation models of both membrane and water.<br/>Opens the Membrane Permeability panel.",,
membrane_permeability_gui.show_panel,,,"Calculate the passive membrane permeability of a congeneric set of ligands, based on calculations using continuum solvation models of both membrane and water.<br/>Opens the Membrane Permeability panel.",,
menu_contacts_panel,,,"Display contacts in the Workspace, choose the types of contacts and the atoms they are displayed for, and set the color of the markers.<br/>Opens the Non-Bonded Interactions panel.",,
menu_hbonds_panel,,,"Display hydrogen and halogen bonds in the Workspace, choose the types of bonds and the atoms they are displayed for, and set the color of the markers.<br/>Opens the Non-Bonded Interactions panel.",,
menu_piinteractions_panel,,,"Display pi interactions in the Workspace, choose the types of interactions and the atoms they are displayed for, and set the color of the markers.<br/>Opens the Non-Bonded Interactions panel.",,
merge_duplicates,,,,Merge Duplicate Ligands...,Project Table and Project Operations
merge_duplicates_gui.panel,,,"Combine a set of structures into a single file with elimination of duplicates. The elimination is done by comparing SMILES strings, and the output is either a SMILES file or a 2D SD file; in either case the output contains no 3D information other than chirality properties.<br/>Opens the Merge Duplicates panel.",,
microkinetics_deposition_analysis_viewer_gui.panel,,,Analyze microkinetic modeling calculation results for deposition processes.<br/>Opens the Microkinetics Deposition Analysis Panel.,,
microkinetics_gui.panel,,,Predict and understand rates of catalytic reactions of interest.<br/>Opens the Microkinetic Modeling Panel.,,
microkinetics_viewer_gui.panel,,,Plot the results of a microkinetic modeling calculation.<br/>Opens the Microkinetic Modeling Viewer Panel.,,
mini,,,"Minimize the energy of one or more structures with respect to their geometries, using a force field and optional constraints. If the structures are conformers, redundancies can be removed and an energy filter applied. Structures can also be minimized in two solvents, to obtain partition coefficients. The MMFF and the OPLS series of force fields with various electrostatic treatments, including GB/SA, can be used.<br/>Opens the Minimization panel.",,
minimization_ab_initio_qm,"minimization, Ab",,,Ab Initio QM...,General Modeling
minimization_complex,minimization,,,Ligand-Receptor Complex...,General Modeling
minimization_force_field,minimization,,,Force-Field...,General Modeling
minimization_qm_mm,minimization,,,QM-MM...,General Modeling
minimize,,,"<!-- minimization -->
Minimize the energy of a protein structure or substructure with respect to its geometric coordinates, optionally including periodic boundary conditions, an implicit solvent, and an implicit membrane.<br/>Opens the Minimize panel.",,
minimize_tm_complexes.panel,,,Clean up the structure of one or more complexes by performing a force-field minimization.<br/>Opens the Complex Cleanup panel,,
minimizerigid,,,"<!-- protein, rigid-body, rigid body -->
Minimize portions of the structure as rigid bodies with respect to position and orientation. The minimization can also include freely moving atoms, and can optionally include periodic boundary conditions, an implicit solvent, and an implicit membrane.<br/>Opens the Minimize as Rigid Body panel.",,
mixed_solvent_md,"MD, mxmd, mixed solvent, sitemap",,,Mixed Solvent MD...,Desmond
ml_formulations_gui.panel,,,<!-- ML -->Build and apply machine learning models for predicting formulations properties.<br/>Opens the Formulation Machine Learning Panel.,,
ml_formulations_optimization_gui.panel,,,Apply machine learning models for optimizing the formulation of a mixture.<br/>Opens the Formulation Machine Learning Optimization Panel.,,
ml_model_manager_gui.panel,,,<!-- Machine Learning Model Manager -->Re-train machine learning models with the software release version in use.<br/>Opens the ML Model Manager Panel.,,
ml_qsar_gui.panel,"ML, QSPR",,"<!-- QSPR, ML -->Build and apply individual QSAR models from a selection of regression and classification methods.<br/>Opens the Build and Apply QSAR Model Panel.",Build and Apply QSAR Model...,Discovery Informatics and QSAR
mlff_gui.panel,,,Use pre-built machine learning force field models to make predictions on energy and geometry.<br/>Opens the MLFF Calculations (Beta) Panel.,,
mmod_to_kcal,,,,Convert MacroModel Energies to kcal/mol,Project Table and Project Operations
mmod_to_kcal.mmod_to_kcal,,,"Convert all MacroModel energies from kJ/mol to kcal/mol, creating new project properties.",,
mof_enumeration_gui.panel,,,Enumerate metal-organic frameworks from a chosen metal system and a library of organic linkers.<br/>Opens the Enumerate Metal-Organic Frameworks panel,,
mogul_analysis,mogul,,,CSD Analysis...,Structure Analysis
mogul_query,mogul,,,CSD Search...,Structure Analysis
moldyn,,,"Run a molecular dynamics or stochastic dynamics calculation on a non-periodic structure. The MMFF and the OPLS series of force fields with various electrostatic treatments, including GB/SA, can be used.<br/>Opens the Dynamics panel.",,
molecular_descriptors,"cheminformatics, properties",,,Molecular Descriptors...,Discovery Informatics and QSAR
molecular_descriptors.panel,,,"Compute topological descriptors, QikProp properties and semiempirical electronic (MOPAC) properties for a set of structures.<br/>Opens the Molecular Descriptors panel.",,
molecular_materials_descriptors_gui.panel,,,"<!-- ML -->
Generate molecular descriptors suitable for materials applications, to use in machine learning.<br/>Opens the Generate Molecular Materials Descriptors panel.",,
mopac_main,minimization,,,Semiempirical,General Modeling
mopac_main_gui.panel,,,Set up and run a semiempirical NDDO quantum chemical calculation with the MOPAC package.<br/>Opens the MOPAC Panel.,,
morphology_gui.panel,,,Calculate surface energies of crystal surfaces for estimating relative growth rates and particle shapes.<br/>Opens the Crystal Morphology Calculations Panel.,,
move_atoms,,,"Move a selected set of atoms by translation or by rotation about their centroid, and other similar actions.<br/>Opens the Move Atoms banner.",,
move_selected_atoms_gui.panel,,,"<!-- move atoms -->
Move the atoms selected in the Maestro workspace through translation or rotation.<br/>Opens the Move Selected Atoms Panel.",,
movie.movie_entries movie_entries.gif,,,Create a movie from the entries that are selected in the Project Table.,,
movie_entries,,,,Movie from Selected Entries...,Project Table and Project Operations
msv.panel,,,"Perform modeling tasks with sequences, including visualization, alignment, structure and property predictions, analysis, and homology modeling.<br/>Opens the Multiple Sequence Viewer/Editor panel.",,
multicomplex_builder_gui.panel,,,"Build a set of organometallic complexes from a set of ligands. Each complex is composed of a metal, an optional &quot;sentinel&quot; ligand that remains the same in each complex, and enough copies of one other ligand to fill the coordination sites for the chosen complex geometry around the user defined metal center.<br/>Opens the Build Multiple Complexes panel",,
multiseqviewer,"chimeric, msv, multiple sequence alignment, multiple sequence viewer, sequence",,,Homology Modeling...,Protein Preparation and Refinement
multiseqviewer.panel,,,"Visualize, manipulate, and align multiple sequences and their properties, and perform homology modeling with the aligned sequences.<br/>Opens the Multiple Sequence Viewer panel.",,
multiseqviewer2,"homology modeling, chimeric, msv, multiple sequence alignment, multiple sequence viewer, sequence",,,Multiple Sequence Viewer/Editor...,Protein Preparation and Refinement
multispectra_analysis_gui.panel,,,Combine and adjust visible spectra to generate a spectrum and analyze its color properties.<br/>Opens the Multispectra Analysis Panel.,,
mutate.panel,,,Create mutated structures from the Workspace structure by picking a residue to mutate and choosing a set of mutations. The mutated structures are added as new project entries.<br/>Opens the Mutate panel.,,
mutation_gui.panel,,,Interactive tool to identify protein residues or loops and request mutations. Residue-based mutations include changes to other standard residues and chirality inversion. Loop-based mutations can request replacement of an existing loop with a second sequence of any length and any standard-residue composition. Loop replacement is carried out by identifying and grafting on an appropriate template in a curated PDB database.<br/>Opens the Residue and Loop Mutation panel.,,
mxmd_gui.panel,,,Perform Mixed Solvent Molecular Dynamics (MxMD) simulations and view the results.<br/>Opens the Mixed Solvent MD Panel.,,
nanoparticle_gui.panel,,,Build  a nanoparticle of a particular shape and size from the structure in the Workspace.<br/>Opens the Nanoparticle Builder panel.,,
nanoreactor_gui.panel,,,Sample potential energy surfaces or determine elementary reaction networks using xTB metadynamics and optionally identify their thermodynamic sorting with free energy refinement.<br/>Opens the Nanoreactor Panel.,,
nanoreactor_viewer_gui.panel,,,Plot the results of a nanoreactor calculation.<br/>Opens the Nanoreactor Viewer Panel.,,
nanostructure_gui.nanosheet_panel,,,"Build nanosheets from a specified asymmetric unit, composition, and geometry to a given size. Multi-layer nanosheets can be constructed as well as single nanosheets. <br/>Opens the Nanostructure Builder panel.",,
nanostructure_gui.nanotube_panel,,,"Build nanotubes from a specified asymmetric unit, composition, and geometry to a given size. Multi-walled nanotubes can be constructed as well as single-walled nanotubes, and nanotubes with a range of chiral indices can be generated. <br/>Opens the Nanostructure Builder panel.",,
nanostructure_gui.panel,,,"Build nanotubes or nanosheets from a specified asymmetric unit, composition, and geometry to a given size. Multi-walled nanotubes and multi-layer nanosheets can be constructed as well as single-walled nanotubes and single nanosheets, and nanotubes with a range of chiral indices can be generated. <br/>Opens the Nanostructure Builder panel.",,
neb_gui.panel,,,"<!-- qe, neb -->
Generate a minimum energy path (MEP) between two minimized structures by the nudged elastic band method.<br/>Opens the Nudged Elastic Band Calculation panel.",,
neb_monitor_gui.panel,,,"<!-- qe, neb -->
Monitor the convergence of a nudged elastic band calculation.<br/>Opens the Nudged Elastic Band Monitor Panel.",,
neb_restart_gui.panel,,,"<!-- qe, neb -->
Restart a failed or unconverged nudged elastic band job.<br/>Opens the Nudged Elastic Band Restart panel",,
new_kmc_compute_charge_mobility_gui.panel,,,"Compute charge mobility in an amorphous solid using kinetic Monte Carlo methods for carrier hopping, based on hopping data from Jaguar and QSite calculations.<br/>Opens the Compute KMC Charge Mobility panel.",,
new_kmc_hopping_params_gui.panel,,,Compute hopping parameters in an amorphous solid using Jaguar and QSite calculations.<br/>Opens the Compute KMC Hopping Parameters Panel.,,
nmr_viewer_gui.panel,,,Plot NMR spectra from a Quantum ESPRESSO calculation.<br/>Opens the NMR Viewer Panel.,,
non_standard_residues_gui.panel,,,"Set up a database of nonstandard residues, by building new residues or importing existing residues, and choose the nonstandard residues that are shown in the residue selection tools for residue scanning.<br/>Opens the Nonstandard Residues panel.",,
oled_ml_formulations_gui.panel,,,Build and apply machine learning models for predicting OLED device properties.<br/>Opens the OLED Device Machine Learning Panel.,,
one_step_glide_docking,"dock, docking, XP, SP, Glide, GOLD, one step",,,One-Step Ligand Docking...,Receptor-Based Virtual Screening
one_step_glide_gui.panel,,,Perform Glide grid generation and docking in a single step with a limited range of options.<br/>Opens the One-Step Glide Docking panel.,,
one_step_prepwizard_gui.panel,,,"Run protein preparation in a single step with a limited range of options, for multiple proteins.<br/>Opens the One-Step Protein Preparation panel.",,
opto_device_designer_gui.panel,,,Design optoelectronic devices and plot the device energy level diagram.<br/>Opens the Optoelectronic Device Designer Panel.,,
opto_film_props_gui.panel,,,"<!-- transition dipole moment, order parameter, seet, singlet excition energy transfer, isc, intersystem crossing, refractive index, extinction coefficient, ellipsometry -->
Calculate various optoelectronic film properties, such as transition dipole moment order parameter, singlet exciton energy transfer rate, intersystem crossing rate, refractive index, and extinction coefficient from molecular excited state properties.<br/>Opens the Optoelectronic Film Properties Panel.",,
opto_film_props_viewer_gui.panel,,,"<!-- transition dipole moment, order parameter, seet, singlet excition energy transfer, isc, intersystem crossing, refractive index, extinction coefficient, ellipsometry -->
Plot the results from an optoelectronic film properties calculation including transition dipole moment order parameter, singlet exciton energy transfer, intersystem crossing, refractive index, and extinction coefficient.<br/>Opens the Optoelectronic Film Properties Viewer Panel.",,
optoelectronics_al_gui.panel,,,"<!-- ML -->
Use an active learning workflow to arrive at a machine learning model for predicting electronic properties of molecules relevant to optoelectronics.<br/>Opens the Optoelectronics Active Learning Training Panel.",,
optoelectronics_al_predict_gui.panel,,,"<!-- ML -->
Review machine learning models generated from the optoelectronics active learning workflow and use them to make predictions on optoelectronics properties.<br/>Opens the Review and Apply Optoelectronics Active Learning Model Panel.",,
optoelectronics_electron_coupling,"fluorescence, optoelectronics",,,Electron Coupling...,Quantum Mechanics
optoelectronics_genopt,"fluorescence, optoelectronics",,,Genetic Optimization...,Quantum Mechanics
optoelectronics_genopt_gui.panel,,,Optimize one or more optoelectronic properties using a genetic algorithm for modifying the structure.<br/>Opens the Optoelectronics Genetic Optimization panel.,,
optoelectronics_genopt_viewer,"fluorescence, optoelectronics",,,Genetic Optimization Monitoring...,Quantum Mechanics
optoelectronics_genopt_viewer_gui.panel,,,"Monitor the progress of a genetic optimization of optoelectronic properties while a job is running, or examine a completed job.<br/>Opens the Optoelectronics Genetic Optimization Viewer panel.",,
optoelectronics_gui.panel,,,"Calculate electronic properties of molecules relevant to optoelectronics: oxidation and reduction potentials, hole and electron reorganization energies, singlet-triplet excitation energies, and electronic absorption spectra.<br/>Opens the Optoelectronics Calculations panel.",,
optoelectronics_perform_calculations,"fluorescence, optoelectronics",,,Perform Calculations...,Quantum Mechanics
optoelectronics_view_results,"fluorescence, optoelectronics",,,View Results...,Quantum Mechanics
optoelectronics_viewer_gui.panel,,,"View the results of optoelectronics calculations, as tabulated data and as scatter plots.<br/>Opens the Optoelectronics Results panel.",,
order_parameter_gui.panel,,,Perform an order parameter analysis on an MD simulation.<br/>Opens the Perform Order Parameter Analysis panel.,,
order_parameter_viewer_gui.panel,,,Plot the results of an order parameter analysis.<br/>Opens the Order Parameter Analysis Results Viewer panel.,,
organometallic_complex_build_multiple,organometallic complexes,,,,
organometallic_complex_build_single,organometallic complexes,,,,
organometallic_complex_cleanup,organometallic complexes,,,,
p450_calc_gui.panel,,,"<!-- P450, metabolism, CYP -->
Predict the sites of metabolism on a set of ligands for various P450 isoforms.<br/>Opens the P450 Site of Metabolism - Perform Calculation panel.",,
p450_calculate,"p450, reactivity",,,Perform Calculation...,ADME and Molecular Properties
p450_results,"p450, reactivity",,,Examine Results...,ADME and Molecular Properties
p450_results_gui.panel,,,"<!-- P450, metabolism, CYP -->
Examine the predicted sites of metabolism for a set of ligands for various P450 isoforms, and visualize the associated predicted binding modes.<br/>Opens the P450 Site of Metabolism - Examine Results panel.",,
partial_concentration_calculation_gui.panel,,,Calculate the concentration of the various molecules in a periodic structure. The volume used is that of the periodic box.<br/>Opens the Partial Concentration Calculation Panel.,,
patch_analyzer_gui.panel,"aggregation, aggscore, reactive",,"Analyze a protein surface into patches that represent distinct types of interactions: positively charged, negatively charged, and hydrophobic. For each patch a range of properties is calculated, to characterize the interaction and its intensity. These patches can be used to identify possible interaction hotspots or propensities to interact.<br/>Opens the Protein Surface Patches panel.",Protein Surface Analyzer...,Biologics
pdbname.run,,,Assign PDB names to the atoms in the Workspace structure.,,
pdbsearch_gui.panel,,,"Search the Prime PDB header database for structures that have specified text in the ID, title, compound, source, or hetname fields, and import the matching structures into Maestro.<br/>Opens the Search PDB Header Database panel.",,
pdos_viewer_gui.panel,,,Plot the projected density of states from a periodic DFT calculation as a function of energy.<br/>Opens the Projected Density of States Viewer panel.,,
penetrant_loading_gui.panel,,,"Add a rigid penetrant, such as water or methane, to vacancies in a condensed system. This is done in cycles that involve adjusting penetrant content followed by relaxation of the system.<br/>Opens the Penetrant Loading panel.",,
penetrant_loading_viewer_gui.panel,,,Show plots of the results of a penetrant loading simulation.<br/>Opens the Penetrant Loading Viewer panel.,,
pep_from_seq_gui.panel,,,"Build a peptide from a sequence, with options for control of the secondary structure.<br/>Opens the Build Peptide from Sequence dialog box.",,
peptide_docking_gui.panel,,,"Dock peptides to a protein using Glide. The protein is treated as a rigid structure, but with some softening of the potentials for flexibility; the peptides are treated as flexible structures.<br/>Opens the Peptide Docking panel.",,
peptide_helicity_gui.panel,,,Predict the stability of the alpha helical conformation of a set of small peptides using molecular dynamics.<br/>Opens the Peptide Helicity panel.,,
peptide_qsar_gui.panel,,,"Build a QSAR model for a series of same-length peptides that have associated experimental observables. A variety of options are available for generating the fingerprints for the provided peptide sequences, and a partial least squares approach is used for associating the fingerprints with the observables.<br/>Opens the Peptide QSAR panel.",,
periodic_descriptors_gui.panel,,,"<!-- ML -->
Calculate descriptors for a periodic system that can be used in machine learning.<br/>Opens the Periodic Descriptors panel.",,
periodic_dft_gui.panel,periodic dft,,"<!-- qe -->
Run a periodic DFT calculation with the Quantum Espresso package.<br/>Opens the Periodic DFT panel.",,
periodic_dft_import_gui.panel,,,"<!-- qe -->
Import structures extracted from a Quantum ESPRESSO output file.<br/>Opens the Quantum ESPRESSO Import Panel.",,
permittivity_gui.panel,,,"Calculate the refractive index, Abbe number, and static and complex permittivities for a set of amorphous polymers.<br/>Opens the Amorphous Dielectric Properties Panel.",,
permittivity_viewer_gui.panel,,,Display plots of complex permittivity and fit the decay function data to extract dielectric constants.<br/>Opens the Amorphous Dielectric Viewer Panel.,,
phase.create_phase_db_gui.panel,"pharmacophore modeling, hypothesis, Phase, pharmacophore database",,"<!-- build, 3D database -->
Generate a database of ligands for screening, with optional structure preparation, filtering by properties, duplicate elimination, conformer and site generation. The database can be used for shape and pharmacophore screening, and in the Virtual Screening Workflow for ligand docking.<br/>Opens the Generate Phase Database panel.",Create Database...,Ligand-Based Virtual Screening
phase.create_shape_data_file_gui.panel,,,"<!-- 3D database -->Create a data file from a set of ligands that can be used for shape-based screening on a GPU.
<br/>Opens the Create Shape Data File panel.",,
phase.detect_binding_modes_gui.panel,"detect binding mode, hypothesis, Phase, binding modes",,Cluster hypotheses that do not match all actives to detect possible different binding modes.<br/>Opens the Detect Binding Modes panel.,Detect Binding Modes...,Ligand-Based Virtual Screening
phase.enrichment_viewer_gui.panel,"hypothesis, Phase, enrichment",,"Display the results of a hypothesis validation, showing enrichment metrics for each hypothesis and giving access to full reports and plots.<br/>Opens the Enrichment Viewer panel.",Enrichment Viewer...,Ligand-Based Virtual Screening
phase.hypotheses_validation_gui.panel,,,Validate one or more hypotheses by running a screen on a set of active ligands and decoy ligands. <br/>Opens the Hypotheses Validation panel.,,
phase.hypothesis_alignment_gui.panel,Phase,,Align one or more pharmacophore hypotheses to a reference hypothesis.<br/>Opens the Hypothesis Alignment panel.,Hypothesis Alignment...,Ligand-Based Virtual Screening
phase.hypothesis_validation_gui.panel,"hypothesis, Phase",,,Hypothesis Validation...,Ligand-Based Virtual Screening
phase.manage_phasedb_gui.panel,"pharmacophore modeling, Phase",,"<!-- pharmacophore, build database -->
Manage a Phase 3D database by adding, deleting, or exporting structures and creating and deleting subsets.<br/>Opens the Manage Phase Database panel.",Manage Database...,Ligand-Based Virtual Screening
phase.phase_gui.panel,,,"<!-- hypothesis, epharmacophore, e-pharmacophore, consensus -->Develop pharmacophore models from one or more ligands, a ligand-receptor complex, a receptor, a set of protein residues, or multiple existing hypotheses.<br/>Opens the Develop Pharmacophore Model panel.",Develop Pharmacophore Hypothesis...,Ligand-Based Virtual Screening
phase.phase_screening_gui.panel,"virtual screen, screening, pharmacophore hypothesis, pharmacophore search, hypothesis, Phase, generate pharmacophore, database screening, find hits, find matches, ligand screening",,"<!-- find matches -->
Screen ligands against one or more pharmacophore hypotheses.<br/>Opens the Phase Ligand Screening panel.",Ligand Screening...,Ligand-Based Virtual Screening
phase.phase_shape_binary_file_gui.panel,,,Create a binary file from a set of ligands that can be used for shape-based screening on a GPU<br/>Opens the Create Shape Binary File panel,,
phase.phase_shape_gui.panel,,,"<!-- alignment, ligand alignment -->
Screen a set of molecules against a query by shape, and optionally by atom or pharmacophore type. Conformers can be generated and excluded volumes applied during the screening.<br/>Opens the Shape Screening panel.",,
phase_clustervis,,,Cluster a set of hypotheses and display information on the clusters in order to identify multiple binding modes. Requires a set of runs performed in the Develop Common Pharmacophore Hypotheses panel.<br/>Opens the Visualization Setup panel.,,
phase_convert_database,,,Convert a Phase database from an earlier format to the current format.<br/>Opens the Convert Phase Database panel.,,
phase_create_hypothesis,,,"<!-- Phase, pharmacophore model -->
Create a new pharmacophore hypothesis manually from a structure in the project.<br/>Opens the Choose Reference Ligand dialog box, then the New Hypothesis dialog box and the Manage Pharmacophore Hypotheses panel.",,
phase_diagram_viewer_gui.panel,,,Plot the compositional phase diagram to understand the relative stability of compounds with respect to their composition.<br/>Opens the Phase Diagram Viewer Panel.,,
phase_gui,"epharmacophore, e-pharmacophore, pharmacophore modeling, pharmacophore hypothesis, hypothesis, Phase, build pharmacophore, generate pharmacophore, find matches, receptor pharmacophore",,,Develop Pharmacophore Hypothesis...,Phase
phase_qsar,Phase,,,Atom-Based QSAR...,Phase
phase_simple_gui,,phase_simple_hypo_gui.panel,,,
phase_simple_hypo_gui.panel,,,"<!-- pharmacophore model -->
Create a pharmacophore hypothesis from a ligand and screen compounds against this hypothesis.<br/>Opens the Simplified Pharmacophore Modeling and Screening panel.",,
phband_structure_viewer_gui.panel,,,"<!-- qe -->
Plot the phonon dispersion from a QE periodic DFT calculation<br/>Opens the Phonon Dispersion Viewer panel.",,
phdos_viewer_gui.panel,,,"<!-- qe -->
Plot the phonon density of states from a periodic DFT calculation as a function of frequency. Also display the dielectric constant tensors.<br/>Opens the Phonon Density of States Viewer panel.",,
pick_atom_label,,,"When picking in the Workspace, apply the action to the picked atom label.",,
pick_atoms,,,"When picking in the Workspace, apply the action to the picked atom.",,
pick_atoms_or_bonds,,,"When picking in the Workspace, apply the action to the picked atom or bond.",,
pick_atoms_surfaces,,,"When picking in the Workspace, apply the action to the picked atom or surface.",,
pick_bonds,,,"When picking in the Workspace, apply the action to the picked bond.",,
pick_chains,,,"When picking in the Workspace, apply the action to the picked chain.",,
pick_density_peaks,,,"When picking in the Workspace, apply the action to the picked density peak.",,
pick_entries,,,"When picking in the Workspace, apply the action to the picked entry.",,
pick_excluded_volumes,,,"When picking in the Workspace, apply the action to the picked excluded volume.",,
pick_hydrophobic_cells,,,"When picking in the Workspace, apply the action to the picked hydrophobic cell.",,
pick_molecules,,,"When picking in the Workspace, apply the action to the picked molecule.",,
pick_phase_sites,,,"When picking in the Workspace, apply the action to the picked Phase site.",,
pick_residues,,,"When picking in the Workspace, apply the action to the picked residue.",,
pka_empirical,"pKa, pKa prediction, tautomer",,,Empirical pKa...,Ligand Preparation and Library Design
pka_ml,"pKa, pKa prediction, ML, Epik, ML-Epik",,,ML Model pKa...,Ligand Preparation and Library Design
pka_qm,"pKa, pKa prediction",,,Quantum-Mechanical...,Ligand Preparation and Library Design
planar_angle_gui.panel,,,"Measure the angle between two planes, defined by two atom selections.<br/>Opens the Planar Angle panel.",,
plane_shear_md_gui.panel,,,Simulate Couette flow by using non-equilibrium molecular dynamics to shear a system confined between two planes moving at constant velocity. Calculate the shear viscosity and friction coefficient of the system.<br/>Opens the Thin Plane Shear Panel.,,
plane_shear_md_viewer_gui.panel,,,"Display the results of a thin plane shear calculation including plots of drag force, friction coefficient, and the velocity gradient.<br/>Opens the Thin Plane Shear Viewer Panel.",,
plot_coord_scan,coordinate scan,,,Plot Coordinate Scan...,Structure Analysis
plot_coord_scan_gui.panel,,,"Plot energies from scans of one or two coordinates, such as from a MacroModel or Jaguar coordinate scan.<br/>Opens the Plot Coordinate Scan Results panel.",,
plotxy,,,"Manage plots of project data: create, show, hide, delete, and rename.<br/>Opens the Manage Plots panel.",,
polymer_builder_gui.panel,,,"Build a polymer from one or more monomer units. You can specify the composition, arrangement and configuration of the monomers; the initializer, cascader (if any), and terminator; backbone dihedrals and nonstandard couplings.<br/>Opens the Polymer Builder panel.",,
polymer_chain_analysis_gui.panel,,,"Calculate properties of selected polymer molecules from one or more MD simulations, averaged over the selected molecules and the trajectory.<br/>Opens the Polymer Chain Analysis panel.",,
polymer_chain_analysis_viewer_gui.panel,,,Show time and frequency plots of end to end distance from a polymer chain analysis calculation.<br/>Opens the Polymer Chain Analysis Viewer panel.,,
polymer_crosslink,"QM, quantum mechanics",,,,
polymer_crosslink_gui.panel,,,"Build polymers from a box of monomers, by linking units according to a reaction scheme in which two specified bonds are broken and new bonds formed. Links are made when the atoms that form bonds are within a specified distance. MD at elevated temperature is used to &quot;shake up&quot; the mixture after each round of bond formation so that new bonds can be formed.<br/>Opens the Crosslink Polymers panel.",,
polymer_crosslink_viewer_gui.panel,,,"Display and analyze the results of a cross-linking calculation. The panel provides the ability to color structures in the Workspace according to features relevant to the cross-linking calculation, and show plots as a function of time and histograms as a function of molecular weight of various properties.<br/>Opens the Crosslink Polymers Viewer panel.",,
polymer_descriptors_gui.panel,,,Calculate topological fingerprints and descriptors for polymers.<br/>Opens the Polymer Descriptors Panel.,,
pose_explorer,"docking postprocessing, pose",,,Pose Explorer...,Receptor-Based Virtual Screening
pose_explorer.materials_panel,,,"Cluster structures by sets of properties and explore the properties based on the clustering, in a self-organizing map.<br/>Opens the Materials Explorer panel.",,
pose_explorer.panel,,,"Cluster poses from docking by sets of properties and explore the properties based on the clustering, in a self-organizing map.<br/>Opens the Pose Explorer panel.",,
pose_filter.show_panel,,,Filter poses of ligands docked to a receptor by criteria on their interactions with the receptor.<br/>Opens the Pose Filter panel.,,
pose_filter_gui.panel,"docking postprocessing, pose filter, filter contacts, filter interactions, interaction, pose, ligfilter",,Filter out poses that do not match user-specified criteria for ligand interactions with the receptor.<br/>Opens the Pose Filter panel.,Filter Docked Poses...,Receptor-Based Virtual Screening
pose_viewer_gui.panel,,,Set up the Workspace for stepping through poses from one or more Glide docking runs with the receptor fixed in the Workspace.<br/>Opens the Pose Viewer panel.,,
poseviewer,,,"Display poses from a Glide docking run in the Workspace with the receptor. You can also display hydrogen bond and contact markers, and visualize per-residue interactions.<br/>Opens the Pose Viewer panel.",,
powder_diffraction_pattern_gui.panel,,,Calculate the powder diffraction pattern for a given X-ray source for a periodic structure.<br/>Opens the Powder Diffraction Pattern panel.,,
